,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
304,aykhal,66.0,111.5,6.8,84,90,8.95,RU,11-01-2020 52:41
305,san jeronimo,-11.95,-75.28,57.67,58,46,3.56,PE,11-01-2020 52:42
306,deputatskiy,69.3,139.9,-15.83,88,56,6.51,RU,11-01-2020 52:44
307,rio grande,-32.03,-52.1,59.0,83,0,7.4,BR,11-01-2020 52:46
308,naze,28.37,129.48,73.4,94,40,11.41,JP,11-01-2020 52:47
309,kainantu,-6.29,145.87,71.71,72,43,2.82,PG,11-01-2020 52:48
310,abonnema,4.71,6.79,77.27,89,99,4.25,NG,11-01-2020 52:49
311,santa pola,38.19,-0.57,61.0,93,20,4.7,ES,11-01-2020 52:50
312,soyo,-6.13,12.37,78.26,87,100,7.38,AO,11-01-2020 52:51
313,salinopolis,-0.61,-47.36,80.33,81,98,11.72,BR,11-01-2020 52:53
314,la rioja,42.25,-2.5,57.0,93,0,7.47,ES,11-01-2020 52:54
315,tanhacu,-14.02,-41.25,73.26,87,77,3.67,BR,11-01-2020 52:55
316,manaus,-3.1,-60.02,82.4,83,75,2.24,BR,11-01-2020 52:56
317,sokolo,14.73,-6.12,82.44,15,41,6.76,ML,11-01-2020 52:57
318,lotoshino,56.23,35.64,39.97,90,100,8.77,RU,11-01-2020 52:58
319,buraydah,26.33,43.98,68.0,37,0,6.93,SA,11-01-2020 53:00
320,belyy yar,53.6,91.39,23.0,92,58,2.24,RU,11-01-2020 53:02
321,san patricio,28.02,-97.52,80.6,39,20,14.99,US,11-01-2020 53:03
322,bilibino,68.05,166.44,8.46,92,96,1.21,RU,11-01-2020 53:04
323,odesskoye,54.21,72.97,36.01,83,94,12.17,RU,11-01-2020 53:05
324,rocha,-34.48,-54.33,51.1,85,0,3.36,UY,11-01-2020 53:06
325,biltine,14.53,20.92,81.9,26,47,8.66,TD,11-01-2020 53:07
326,montrose,38.42,-108.27,63.0,24,0,3.0,US,11-01-2020 53:08
327,kautokeino,69.01,23.04,38.5,94,100,21.34,NO,11-01-2020 53:09
328,kavieng,-2.57,150.8,85.69,67,1,5.75,PG,11-01-2020 53:11
329,severo-yeniseyskiy,60.37,93.04,31.48,99,100,13.73,RU,11-01-2020 53:12
